Neighborhood,Price,Bedrooms,Sqft,Date Posted,Comment,Link,ID,Retrieval_Year,Retrieval_Month,Retrieval_Day
Adams Morgan,$1999,1,NA,Sep 30,1 Bdr Apartment in Heart of Adams Morgan,https://washingtondc.craigslist.org/doc/apa/5232433932.html,5232433932,2015,10,4
Adams Morgan,$1800,2,1213,Sep 30,Heart Of Adams Morgan. 1 bed/1 bath! 1st week of October,https://washingtondc.craigslist.org/doc/apa/5220994653.html,5220994653,2015,10,4
Adams Morgan,$1800,NA,480,Sep 30,Beautiful loft in Kalorama/Adams Morgan,https://washingtondc.craigslist.org/doc/apa/5246289694.html,5246289694,2015,10,4
Adams Morgan,$2600,2,NA,Sep 30,Adams Morgan One Bedroom Condo,https://washingtondc.craigslist.org/doc/apa/5246175425.html,5246175425,2015,10,4
Adams Morgan,$2775,1,NA,Sep 30,Renovated 2 bedroom for October Adams Morgan,https://washingtondc.craigslist.org/doc/apa/5246155831.html,5246155831,2015,10,4
Adams Morgan,$1598,1,800,Sep 30,Come meet us!! right in the heart of Adams Morgan!!,https://washingtondc.craigslist.org/doc/apa/5245979485.html,5245979485,2015,10,4
Adams Morgan,$1375,NA,480,Sep 30,Roommate Needed $1375 Adams Morgan October 1,https://washingtondc.craigslist.org/doc/apa/5245731690.html,5245731690,2015,10,4
Adams Morgan,$2049,2,1213,Sep 30,Spacious Corner Apt in Adams Morgan,https://washingtondc.craigslist.org/doc/apa/5230869386.html,5230869386,2015,10,4
Adams Morgan,$1920,1,515,Sep 29,HUGE 1 BR APT B/W ADAMS MORGAN & DUPONT,https://washingtondc.craigslist.org/doc/apa/5244735509.html,5244735509,2015,10,4
Adams Morgan,$1549,2,1213,Sep 29,LAST ONE!!-ADAMS MORGAN!! Free Utilities & Newly Renovated Studio,https://washingtondc.craigslist.org/doc/apa/5244665594.html,5244665594,2015,10,4
Adams Morgan,$2521,2,726,Sep 29,HUGE 2 bedroom with 2 full bath Adams Morgan *Move in Special,https://washingtondc.craigslist.org/doc/apa/5244673818.html,5244673818,2015,10,4
Adams Morgan,$1649,1,NA,Sep 29,Perfect Location! Quiet Surroundings in the Heart of Adams Morgan-1 Br,https://washingtondc.craigslist.org/doc/apa/5244646410.html,5244646410,2015,10,4
Adams Morgan,$2775,2,726,Sep 29,Renovated 2 bedroom for October Adams Morgan,https://washingtondc.craigslist.org/doc/apa/5244177523.html,5244177523,2015,10,4
Adams Morgan,$2600,2,1213,Sep 29,Spacious 2 Bedroom/1 Bath Adams Morgan/Dupont Apartment Available Now!,https://washingtondc.craigslist.org/doc/apa/5244135383.html,5244135383,2015,10,4
Adams Morgan,$1306,2,1213,Sep 28,True VALUE Incredible LOCATION in Columbia Heights near Adams Morgan,https://washingtondc.craigslist.org/doc/apa/5205124177.html,5205124177,2015,10,4
Adams Morgan,$1329,1,500,Sep 28,Great studio in DCs most cosmopolitan neighborhood Adams Morgan / DuPont Circle,https://washingtondc.craigslist.org/doc/apa/5231326839.html,5231326839,2015,10,4
Adams Morgan,$1920,1,NA,Sep 28,* 1 Month FREE * DuPont Circle / Kalorama / Adams Morgan,https://washingtondc.craigslist.org/doc/apa/5233526530.html,5233526530,2015,10,4
Adams Morgan,$2700,2,NA,Sep 28,Beautiful 2 bedroom/1bathroom in the heart of Adams Morgan/Dupont,https://washingtondc.craigslist.org/doc/apa/5243125021.html,5243125021,2015,10,4
Adams Morgan,$2775,1,NA,Sep 28,Renovated 2 bedroom for October Adams Morgan,https://washingtondc.craigslist.org/doc/apa/5243005285.html,5243005285,2015,10,4
Adams Morgan,$2521,1,500,Sep 28,HUGE 2 bedroom with 2 full bath Adams Morgan *Move in Special,https://washingtondc.craigslist.org/doc/apa/5243008331.html,5243008331,2015,10,4
Adams Morgan,$1598,1,NA,Sep 28,Wow can you believe these prices!!! Right in Adams Morgan!!,https://washingtondc.craigslist.org/doc/apa/5242711630.html,5242711630,2015,10,4
Adams Morgan,$1725,1,NA,Sep 28,"Adams Morgan, 1Br/1Ba, great views, plenty of light!",https://washingtondc.craigslist.org/doc/apa/5242411057.html,5242411057,2015,10,4
Adams Morgan,$2600,1,600,Sep 28,1 br Adams Morgan Condo - Short Walk to Dupont Circle,https://washingtondc.craigslist.org/doc/apa/5242289632.html,5242289632,2015,10,4
Adams Morgan,$2295,1,650,Sep 28,NEWLY RENOVATED TWO BED TWO BATH APARTMENT IN ADAMS MORGAN,https://washingtondc.craigslist.org/doc/apa/5242303985.html,5242303985,2015,10,4
Adams Morgan,$1695,2,NA,Sep 27,Large studio available in the heart of Adams Morgan!!!,https://washingtondc.craigslist.org/doc/apa/5241404182.html,5241404182,2015,10,4
Adams Morgan,$2095,2,NA,Sep 27,Large 1 Bedroom 1 Bath Apt in Adams Morgan,https://washingtondc.craigslist.org/doc/apa/5203977072.html,5203977072,2015,10,4
Adams Morgan,$1725,1,NA,Sep 27,"Adams Morgan, Fantastic 1BR/1BA with nice views, lots of light",https://washingtondc.craigslist.org/doc/apa/5241018153.html,5241018153,2015,10,4
Adams Morgan,$2275,1,NA,Oct 4,High Rise With Wonderful Views Among Adams Morgan!,https://washingtondc.craigslist.org/doc/apa/5252080594.html,5252080594,2015,10,4
Adams Morgan,$2275,NA,405,Oct 4,Your New Home Awaits! Right Off Of The Red Line In Adams Morgan!,https://washingtondc.craigslist.org/doc/apa/5251924019.html,5251924019,2015,10,4
Adams Morgan,$1999,1,NA,Oct 4,Sunny Apt in Kalorama & Adams Morgan,https://washingtondc.craigslist.org/doc/apa/5239082529.html,5239082529,2015,10,4
Adams Morgan,$2099,1,NA,Oct 4,Sunny Apt in Kalorama & Adams Morgan ready,https://washingtondc.craigslist.org/doc/apa/5238015656.html,5238015656,2015,10,4
Adams Morgan,$2099,1,NA,Oct 3,Sunny Apt in Kalorama & Adams Morgan ready,https://washingtondc.craigslist.org/doc/apa/5244213442.html,5244213442,2015,10,4
Adams Morgan,$2050,1,NA,Oct 3,Sunny Apt in Adams Morgan,https://washingtondc.craigslist.org/doc/apa/5237511431.html,5237511431,2015,10,4
Adams Morgan,$2099,1,NA,Oct 3,Sunny Apt in Kalorama & Adams Morgan ready,https://washingtondc.craigslist.org/doc/apa/5244013041.html,5244013041,2015,10,4
Adams Morgan,$2049,1,NA,Oct 3,Sunny Apt in Kalorama & Adams Morgan,https://washingtondc.craigslist.org/doc/apa/5223149710.html,5223149710,2015,10,4
Adams Morgan,$2099,1,NA,Oct 3,1br - Sunny Apt in Kalorama & Adams Morgan,https://washingtondc.craigslist.org/doc/apa/5212291448.html,5212291448,2015,10,4
Adams Morgan,$1999,1,NA,Oct 3,Sunny Apt in Kalorama & Adams Morgan,https://washingtondc.craigslist.org/doc/apa/5250508558.html,5250508558,2015,10,4
Adams Morgan,$2085,1,NA,Oct 3,1br - Sunny Apt in Kalorama & Adams Morgan,https://washingtondc.craigslist.org/doc/apa/5227770904.html,5227770904,2015,10,4
Adams Morgan,$2100,1,NA,Oct 2,Sunny Apt in Kalorama & Adams Morgan,https://washingtondc.craigslist.org/doc/apa/5244782638.html,5244782638,2015,10,4
Adams Morgan,$2085,1,NA,Oct 2,1br - Sunny Apt in Kalorama & Adams Morgan,https://washingtondc.craigslist.org/doc/apa/5227609075.html,5227609075,2015,10,4
Adams Morgan,$2099,1,NA,Oct 4,Beautiful Corner Apartment in Adams Morgan/Kalorama Triangle,https://washingtondc.craigslist.org/doc/apa/5243674187.html,5243674187,2015,10,4
Adams Morgan,$1855,1,593,Sep 30,1 Bedroom in Adams Morgan! 2 weeks FREE!!!,https://washingtondc.craigslist.org/doc/apa/5245597083.html,5245597083,2015,10,4
Adams Morgan,$2049,1,NA,Oct 4,Beautiful Corner Apartment in Adams Morgan/Kalorama Triangle,https://washingtondc.craigslist.org/doc/apa/5247146469.html,5247146469,2015,10,4
Adams Morgan,$1999,1,NA,Sep 30,Sunny Apt in heart of Adams Morgan,https://washingtondc.craigslist.org/doc/apa/5235409824.html,5235409824,2015,10,4
Adams Morgan,$2100,1,NA,Oct 4,Sleek and Stylish Apt in Adams Morgan/Kalorama Triangle area,https://washingtondc.craigslist.org/doc/apa/5242848071.html,5242848071,2015,10,4
Adams Morgan,$1999,1,NA,Oct 3,Spacious Corner Apartment in Heart of Adams Morgan,https://washingtondc.craigslist.org/doc/apa/5232087616.html,5232087616,2015,10,4
Adams Morgan,$1999,1,NA,Oct 3,►►►Statley 1BD/1BTH in Central Adams Morgan,https://washingtondc.craigslist.org/doc/apa/5233337464.html,5233337464,2015,10,4
Adams Morgan,$1999,1,NA,Oct 3,►►►Statley 1BD/1BTH in Central Adams Morgan,https://washingtondc.craigslist.org/doc/apa/5233337390.html,5233337390,2015,10,4
Adams Morgan,$1999,1,NA,Oct 3,Adams Morgan Apt,https://washingtondc.craigslist.org/doc/apa/5231837910.html,5231837910,2015,10,4
Adams Morgan,$1999,1,NA,Oct 3,►►►Statley 1BD/1BTH in Central Adams Morgan,https://washingtondc.craigslist.org/doc/apa/5233337133.html,5233337133,2015,10,4
Adams Morgan,$3740,3,1300,Oct 3,A 3 bedroom in Adams Morgan? YES please!,https://washingtondc.craigslist.org/doc/apa/5250839546.html,5250839546,2015,10,4
Adams Morgan,$1998,1,NA,Oct 3,One Bedroom in Adams Morgan in Well Established Building,https://washingtondc.craigslist.org/doc/apa/5240245866.html,5240245866,2015,10,4
Adams Morgan,$1995,1,NA,Oct 3,Large 1 Bedroom 1 Bath Apt in Adams Morgan,https://washingtondc.craigslist.org/doc/apa/5245814222.html,5245814222,2015,10,4
Adams Morgan,$2099,1,NA,Oct 3,1BD Apt in Adams Morgan/Kalorama Triangle in Well Est Building,https://washingtondc.craigslist.org/doc/apa/5207261909.html,5207261909,2015,10,4
Adams Morgan,$2049,1,NA,Oct 3,One Bedroom in Adams Morgan in Well Established Building,https://washingtondc.craigslist.org/doc/apa/5219659937.html,5219659937,2015,10,4
Adams Morgan,$2049,1,NA,Oct 3,Spacious Corner Apartment in Heart of Adams Morgan,https://washingtondc.craigslist.org/doc/apa/5241515304.html,5241515304,2015,10,4
Adams Morgan,$1955,1,670,Sep 29,Adams Morgan's Finest!,https://washingtondc.craigslist.org/doc/apa/5243957879.html,5243957879,2015,10,4
Adams Morgan,$1400,1,NA,Oct 3,FANTASTIC- 1 BR 1 BA Efficiency Apt in Adams Morgan,https://washingtondc.craigslist.org/doc/apa/5250151702.html,5250151702,2015,10,4
Adams Morgan,$2049,1,NA,Oct 2,Spacious Corner Apt in Adams Morgan,https://washingtondc.craigslist.org/doc/apa/5235637954.html,5235637954,2015,10,4
Adams Morgan,$2095,1,600,Oct 2,Awesome Apt in Adams Morgan/Kalorama Triangle area,https://washingtondc.craigslist.org/doc/apa/5239726537.html,5239726537,2015,10,4
Adams Morgan,$2095,1,NA,Oct 2,1br - Corner Unit in Adams Morgan/Kalorama w/ New Bathroom,https://washingtondc.craigslist.org/doc/apa/5231542798.html,5231542798,2015,10,4
Adams Morgan,$2600,2,723,Oct 2,Great location! 2 Bedroom/1 Bathroom Available in Adams Morgan/Dupont,https://washingtondc.craigslist.org/doc/apa/5249597213.html,5249597213,2015,10,4
Adams Morgan,$1999,1,NA,Oct 2,1br - Corner Unit in Adams Morgan/Kalorama w/ New Bathroom,https://washingtondc.craigslist.org/doc/apa/5231285174.html,5231285174,2015,10,4
Adams Morgan,$2049,1,NA,Oct 2,Beautiful Corner Apartment in Adams Morgan/Kalorama Triangle area,https://washingtondc.craigslist.org/doc/apa/5207357841.html,5207357841,2015,10,4
Adams Morgan,$2095,1,NA,Oct 2,Unbeatable Location in Adams Morgan/Kalorama,https://washingtondc.craigslist.org/doc/apa/5245722064.html,5245722064,2015,10,4
Adams Morgan,$1598,NA,480,Oct 2,ADAMS MORGAN..STUDIO BLOWOUT WEEKEND!! AMAZING DEALS-FREE UTILITIES!!,https://washingtondc.craigslist.org/doc/apa/5216573601.html,5216573601,2015,10,4
Adams Morgan,$1625,1,515,Oct 2,Perfect Location! Quiet Surroundings in the Heart of Adams Morgan-1 Br,https://washingtondc.craigslist.org/doc/apa/5249106268.html,5249106268,2015,10,4
Adams Morgan,$1625,1,515,Oct 2,Perfect Location! Quiet Surroundings in the Heart of Adams Morgan-1 Br,https://washingtondc.craigslist.org/doc/apa/5249107174.html,5249107174,2015,10,4
Adams Morgan,$1999,1,NA,Oct 2,Adams Morgan Corner Apt,https://washingtondc.craigslist.org/doc/apa/5230487717.html,5230487717,2015,10,4
Adams Morgan,$2100,1,NA,Oct 2,1br - Modern and Stylish Apt in Adams Morgan/Kalorama,https://washingtondc.craigslist.org/doc/apa/5245499798.html,5245499798,2015,10,4
Adams Morgan,$2775,2,1213,Oct 2,Renovated 2 bedroom for October Adams Morgan,https://washingtondc.craigslist.org/doc/apa/5249029320.html,5249029320,2015,10,4
Adams Morgan,$3740,3,1300,Oct 2,A 3 bedroom in Adams Morgan? YES please!,https://washingtondc.craigslist.org/doc/apa/5248926782.html,5248926782,2015,10,4
Adams Morgan,$2775,2,1213,Oct 2,Renovated 2 bedroom for October Adams Morgan,https://washingtondc.craigslist.org/doc/apa/5248924017.html,5248924017,2015,10,4
Adams Morgan,$1465,NA,475,Oct 2,Fall studio availabe in Adams Morgan,https://washingtondc.craigslist.org/doc/apa/5248927219.html,5248927219,2015,10,4
Adams Morgan,$2049,1,NA,Oct 2,Beautiful Corner Apartment in Adams Morgan/Kalorama Triangle area,https://washingtondc.craigslist.org/doc/apa/5248778672.html,5248778672,2015,10,4
Adams Morgan,$1585,2,NA,Oct 2,$1585 Studio Full Kitchen in Heart of Adams Morgan!,https://washingtondc.craigslist.org/doc/apa/5248493757.html,5248493757,2015,10,4
Adams Morgan,$2750,1,NA,Oct 1,"* 1 Mo FREE * - short walk to METRO -Columbia Heights , Adams Morgan",https://washingtondc.craigslist.org/doc/apa/5233526046.html,5233526046,2015,10,4
Adams Morgan,$1356,1,NA,Oct 1,True VALUE Incredible LOCATION in Columbia Heights near Adams Morgan,https://washingtondc.craigslist.org/doc/apa/5232990252.html,5232990252,2015,10,4
Adams Morgan,$1555,1,NA,Oct 1,"Beautiful, spacious studio in Adams Morgan",https://washingtondc.craigslist.org/doc/apa/5248265713.html,5248265713,2015,10,4
Adams Morgan,$2095,2,1213,Oct 1,Unbeatable Location in Adams Morgan 1 BD/1BT,https://washingtondc.craigslist.org/doc/apa/5242934662.html,5242934662,2015,10,4
Adams Morgan,$1999,NA,475,Oct 1,Beautiful Corner Apartment in Adams Morgan/Kalorama Triangle,https://washingtondc.craigslist.org/doc/apa/5229918172.html,5229918172,2015,10,4
Adams Morgan,$2049,NA,475,Oct 1,Sunny Apt in Adams Morgan,https://washingtondc.craigslist.org/doc/apa/5243169709.html,5243169709,2015,10,4
Adams Morgan,$2775,NA,475,Oct 1,Renovated 2 bedroom for October Adams Morgan,https://washingtondc.craigslist.org/doc/apa/5247838858.html,5247838858,2015,10,4
Adams Morgan,$1465,2,1213,Oct 1,Cozy studio in Adams Morgan,https://washingtondc.craigslist.org/doc/apa/5247840951.html,5247840951,2015,10,4
Adams Morgan,$1465,3,1308,Oct 1,Fall studio availabe in Adams Morgan,https://washingtondc.craigslist.org/doc/apa/5247471266.html,5247471266,2015,10,4
Adams Morgan,$1465,1,NA,Oct 1,Fall in love with a spacious studio - Adams Morgan,https://washingtondc.craigslist.org/doc/apa/5247342013.html,5247342013,2015,10,4
Adams Morgan,$2775,2,NA,Oct 1,Renovated 2 bedroom for October Adams Morgan,https://washingtondc.craigslist.org/doc/apa/5247337331.html,5247337331,2015,10,4
Adams Morgan,$3740,1,NA,Oct 1,Luxurious 3 bedroom available in the heart of Adams Morgan!,https://washingtondc.craigslist.org/doc/apa/5238468432.html,5238468432,2015,10,4
Adams Morgan,$1999,1,NA,Oct 1,Spacious Corner Apartment in Heart of Adams Morgan,https://washingtondc.craigslist.org/doc/apa/5232765410.html,5232765410,2015,10,4
Adams Morgan,$2750,1,NA,Sep 30,"* 1 Mo FREE * - short walk to METRO -Columbia Heights , Adams Morgan",https://washingtondc.craigslist.org/doc/apa/5246762693.html,5246762693,2015,10,4
Adams Morgan,$1920,1,NA,Sep 30,* 1 Month FREE * DuPont Circle / Kalorama / Adams Morgan,https://washingtondc.craigslist.org/doc/apa/5246763330.html,5246763330,2015,10,4
Adams Morgan,$2099,NA,515,Sep 30,Corner Apartment in Adams Morgan,https://washingtondc.craigslist.org/doc/apa/5237090937.html,5237090937,2015,10,4
Adams Morgan,$1999,1,NA,Sep 30,1 Bdr Apartment in Heart of Adams Morgan,https://washingtondc.craigslist.org/doc/apa/5232433932.html,5232433932,2015,10,4
Adams Morgan,$1800,2,1213,Sep 30,Heart Of Adams Morgan. 1 bed/1 bath! 1st week of October,https://washingtondc.craigslist.org/doc/apa/5220994653.html,5220994653,2015,10,4
Adams Morgan,$1800,NA,480,Sep 30,Beautiful loft in Kalorama/Adams Morgan,https://washingtondc.craigslist.org/doc/apa/5246289694.html,5246289694,2015,10,4
Adams Morgan,$2600,2,NA,Sep 30,Adams Morgan One Bedroom Condo,https://washingtondc.craigslist.org/doc/apa/5246175425.html,5246175425,2015,10,4
Adams Morgan,$2775,1,NA,Sep 30,Renovated 2 bedroom for October Adams Morgan,https://washingtondc.craigslist.org/doc/apa/5246155831.html,5246155831,2015,10,4
Adams Morgan,$1598,1,800,Sep 30,Come meet us!! right in the heart of Adams Morgan!!,https://washingtondc.craigslist.org/doc/apa/5245979485.html,5245979485,2015,10,4
Adams Morgan,$1375,NA,480,Sep 30,Roommate Needed $1375 Adams Morgan October 1,https://washingtondc.craigslist.org/doc/apa/5245731690.html,5245731690,2015,10,4
Adams Morgan,$2049,2,1213,Sep 30,Spacious Corner Apt in Adams Morgan,https://washingtondc.craigslist.org/doc/apa/5230869386.html,5230869386,2015,10,4
Adams Morgan,$1920,1,515,Sep 29,HUGE 1 BR APT B/W ADAMS MORGAN & DUPONT,https://washingtondc.craigslist.org/doc/apa/5244735509.html,5244735509,2015,10,4
Adams Morgan,$1549,2,1213,Sep 29,LAST ONE!!-ADAMS MORGAN!! Free Utilities & Newly Renovated Studio,https://washingtondc.craigslist.org/doc/apa/5244665594.html,5244665594,2015,10,4
Adams Morgan,$2521,2,726,Sep 29,HUGE 2 bedroom with 2 full bath Adams Morgan *Move in Special,https://washingtondc.craigslist.org/doc/apa/5244673818.html,5244673818,2015,10,4
Adams Morgan,$1649,1,NA,Sep 29,Perfect Location! Quiet Surroundings in the Heart of Adams Morgan-1 Br,https://washingtondc.craigslist.org/doc/apa/5244646410.html,5244646410,2015,10,4
Adams Morgan,$2775,2,726,Sep 29,Renovated 2 bedroom for October Adams Morgan,https://washingtondc.craigslist.org/doc/apa/5244177523.html,5244177523,2015,10,4
Adams Morgan,$2600,2,1213,Sep 29,Spacious 2 Bedroom/1 Bath Adams Morgan/Dupont Apartment Available Now!,https://washingtondc.craigslist.org/doc/apa/5244135383.html,5244135383,2015,10,4
Adams Morgan,$1306,2,1213,Sep 28,True VALUE Incredible LOCATION in Columbia Heights near Adams Morgan,https://washingtondc.craigslist.org/doc/apa/5205124177.html,5205124177,2015,10,4
Adams Morgan,$1329,1,500,Sep 28,Great studio in DCs most cosmopolitan neighborhood Adams Morgan / DuPont Circle,https://washingtondc.craigslist.org/doc/apa/5231326839.html,5231326839,2015,10,4
Adams Morgan,$1920,1,NA,Sep 28,* 1 Month FREE * DuPont Circle / Kalorama / Adams Morgan,https://washingtondc.craigslist.org/doc/apa/5233526530.html,5233526530,2015,10,4
Adams Morgan,$2700,2,NA,Sep 28,Beautiful 2 bedroom/1bathroom in the heart of Adams Morgan/Dupont,https://washingtondc.craigslist.org/doc/apa/5243125021.html,5243125021,2015,10,4
Adams Morgan,$2775,1,NA,Sep 28,Renovated 2 bedroom for October Adams Morgan,https://washingtondc.craigslist.org/doc/apa/5243005285.html,5243005285,2015,10,4
Adams Morgan,$2521,1,500,Sep 28,HUGE 2 bedroom with 2 full bath Adams Morgan *Move in Special,https://washingtondc.craigslist.org/doc/apa/5243008331.html,5243008331,2015,10,4
Adams Morgan,$1598,1,NA,Sep 28,Wow can you believe these prices!!! Right in Adams Morgan!!,https://washingtondc.craigslist.org/doc/apa/5242711630.html,5242711630,2015,10,4
Adams Morgan,$1725,1,NA,Sep 28,"Adams Morgan, 1Br/1Ba, great views, plenty of light!",https://washingtondc.craigslist.org/doc/apa/5242411057.html,5242411057,2015,10,4
Adams Morgan,$2600,1,600,Sep 28,1 br Adams Morgan Condo - Short Walk to Dupont Circle,https://washingtondc.craigslist.org/doc/apa/5242289632.html,5242289632,2015,10,4
Adams Morgan,$2295,1,650,Sep 28,NEWLY RENOVATED TWO BED TWO BATH APARTMENT IN ADAMS MORGAN,https://washingtondc.craigslist.org/doc/apa/5242303985.html,5242303985,2015,10,4
Adams Morgan,$1695,2,NA,Sep 27,Large studio available in the heart of Adams Morgan!!!,https://washingtondc.craigslist.org/doc/apa/5241404182.html,5241404182,2015,10,4
Adams Morgan,$2095,2,NA,Sep 27,Large 1 Bedroom 1 Bath Apt in Adams Morgan,https://washingtondc.craigslist.org/doc/apa/5203977072.html,5203977072,2015,10,4
Adams Morgan,$1725,1,NA,Sep 27,"Adams Morgan, Fantastic 1BR/1BA with nice views, lots of light",https://washingtondc.craigslist.org/doc/apa/5241018153.html,5241018153,2015,10,4
Adams Morgan,$2275,1,NA,Oct 4,High Rise With Wonderful Views Among Adams Morgan!,https://washingtondc.craigslist.org/doc/apa/5252080594.html,5252080594,2015,10,4
Adams Morgan,$2275,NA,405,Oct 4,Your New Home Awaits! Right Off Of The Red Line In Adams Morgan!,https://washingtondc.craigslist.org/doc/apa/5251924019.html,5251924019,2015,10,4
Adams Morgan,$1999,1,NA,Oct 4,Sunny Apt in Kalorama & Adams Morgan,https://washingtondc.craigslist.org/doc/apa/5239082529.html,5239082529,2015,10,4
